Time,I,Q
460,-64,735
461,40,692
462,351,480
463,439,384
464,595,229
465,607,213
466,543,287
467,489,343
468,270,566
469,164,632
470,-149,735
471,-239,712
472,-514,555
473,-594,446
474,-759,100
475,-780,-17
476,-760,-308
477,-721,-358
478,-463,-391
479,-345,-360
480,51,-192
481,189,-99
482,519,161
483,604,249
484,667,479
485,628,541
486,376,658
487,277,673
488,-94,676
489,-215,647
490,-489,531
491,-568,477
492,-679,261
493,-692,175
494,-678,-76
495,-647,-151
496,-533,-381
497,-483,-461
498,-268,-659
499,-188,-701
500,96,-774
501,194,-762
502,417,-613
503,460,-525
504,559,-198
505,576,-71
506,590,254
507,575,342
508,542,413
509,546,387
510,560,151
511,568,26
512,535,-349
513,507,-443
514,363,-688
515,292,-716
516,34,-687
517,-48,-646
518,-303,-488
519,-375,-437
520,-568,-308
521,-609,-283
522,-740,-243
523,-770,-230
524,-822,-228
525,-791,-230
526,-687,-270
527,-618,-300
528,-321,-461
529,-202,-524
530,137,-701
531,227,-747
532,407,-762
533,409,-705
534,286,-375
535,214,-225
536,-60,297
537,-170,442
538,-364,724
539,-386,749
540,-366,550
541,-316,419
542,-111,-90
543,-26,-260
544,259,-654
545,327,-730
546,541,-703
547,596,-626
548,676,-254
549,686,-107
550,641,280
551,608,391
552,451,572
553,380,598
554,158,580
555,69,571
556,-177,533
557,-245,523
558,-455,559
559,-493,595
560,-576,660
561,-598,665
562,-514,667
563,-448,664
564,-210,568
565,-94,544
566,225,398
567,331,356
568,554,297
569,600,295
570,600,327
571,567,363
572,348,508
573,263,541
574,-55,650
575,-153,659
576,-437,601
577,-529,563
578,-692,304
579,-733,214
580,-765,-117
581,-745,-227
582,-550,-468
583,-480,-509
584,-165,-578
585,-43,-561
586,252,-550
587,316,-539
588,395,-537
589,358,-549
590,143,-580
591,46,-584
592,-310,-555
593,-408,-530
594,-668,-351
595,-721,-272
596,-760,10
597,-736,107
598,-602,367
599,-537,434
600,-316,589
601,-242,602
602,32,665
603,116,673
604,387,629
605,466,593
606,613,423
607,636,347
608,624,8
609,592,-119
610,443,-474
611,398,-582
612,286,-729
613,270,-711
614,322,-465
615,341,-333
616,473,109
617,513,254
618,604,490
619,637,506
620,624,306
621,618,176
622,551,-320
623,526,-482
624,432,-781
625,376,-795
626,176,-576
627,98,-426
628,-174,129
629,-257,325
630,-424,723
631,-452,786
632,-323,671
633,-243,551
634,100,17
635,217,-166
636,465,-621
637,497,-719
638,362,-798
639,255,-750
640,-181,-514
641,-336,-426
642,-676,-236
643,-743,-209
644,-685,-273
645,-588,-340
646,-192,-552
647,-44,-619
648,314,-721
649,405,-702
650,449,-540
651,408,-445
652,171,-101
653,72,14
654,-222,365
655,-283,458
656,-429,697
657,-458,754
658,-500,877
659,-503,887
660,-478,847
661,-445,782
662,-307,525
663,-260,418
664,12,-18
665,99,-169
666,353,-543
667,410,-626
668,431,-680
669,381,-628
670,117,-294
671,6,-147
672,-353,329
673,-422,466
674,-465,744
675,-423,776
676,-84,715
677,69,654
678,502,414
679,612,341
680,742,223
681,718,202
682,440,315
683,297,374
684,-163,578
685,-276,625
686,-473,694
687,-482,690
688,-280,571
689,-164,514
690,242,361
691,401,300
692,691,274
693,755,262
694,794,352
695,770,388
696,643,463
697,597,471
698,528,394
699,508,332
700,534,123
701,549,23
702,569,-235
703,550,-326
704,447,-535
705,367,-582
706,106,-688
707,23,-709
708,-274,-693
709,-362,-659
710,-539,-481
711,-584,-394
712,-652,-80
713,-655,48
714,-626,407
715,-607,499
716,-470,656
717,-415,663
718,-174,514
719,-76,399
720,217,26
721,296,-107
722,456,-488
723,450,-581
724,280,-753
725,187,-771
726,-213,-721
727,-339,-682
728,-643,-484
729,-699,-404
730,-649,-159
731,-548,-88
732,-132,166
733,32,212
734,490,345
735,618,355
736,800,305
737,779,251
738,631,7
739,563,-96
740,318,-396
741,267,-501
742,200,-729
743,222,-771
744,368,-784
745,419,-772
746,509,-659
747,512,-636
748,379,-519
749,282,-481
750,-76,-417
751,-216,-411
752,-561,-390
753,-642,-377
754,-697,-364
755,-647,-374
756,-385,-365
757,-261,-381
758,131,-455
759,375,-710
760,477,-599
761,484,-577
762,410,-501
763,351,-509
764,130,-543
765,31,-557
766,-261,-585
767,-355,-598
768,-570,-508
769,-608,-451
770,-677,-183
771,-684,-85
772,-625,270
773,-594,367
774,-475,599
775,-412,645
776,-265,630
777,-202,579
778,-39,309
779,10,187
780,151,-195
781,196,-319
782,322,-645
783,348,-712
784,412,-863
785,448,-883
786,466,-835
787,459,-799
788,424,-672
789,385,-596
790,249,-365
791,198,-292
792,-4,-11
793,-82,78
794,-278,362
795,-324,469
796,-426,688
797,-434,736
798,-384,843
799,-364,830
800,-279,772
801,-256,725
802,-254,571
803,-272,499
804,-393,315
805,-475,247
806,-644,75
807,-690,13
808,-733,-168
809,-698,-243
810,-504,-477
811,-423,-541
812,-100,-705
813,12,-758
814,275,-795
815,329,-753
816,393,-558
817,377,-473
818,263,-84
819,200,40
820,-28,413
821,-95,505
822,-311,663
823,-400,673
824,-584,552
825,-643,473
826,-732,158
827,-748,62
828,-705,-266
829,-670,-363
830,-456,-546
831,-375,-591
832,-43,-647
833,52,-645
834,308,-606
835,352,-591
836,382,-522
837,346,-506
838,155,-482
839,63,-478
840,-260,-437
841,-359,-434
842,-621,-382
843,-682,-363
844,-817,-288
845,-836,-259
846,-841,-215
847,-811,-208
848,-694,-237
849,-632,-272
850,-409,-409
851,-321,-465
852,-43,-630
853,35,-666
854,279,-712
855,327,-696
856,390,-571
857,385,-488
858,236,-195
859,152,-79
860,-99,235
861,-195,327
862,-394,593
863,-442,663
864,-495,798
865,-487,829
866,-387,853
867,-354,836
868,-267,721
869,-261,678
870,-291,426
871,-328,317
872,-455,-14
873,-508,-120
874,-652,-375
875,-680,-418
876,-676,-420
877,-645,-346
878,-492,-57
879,-434,81
880,-276,473
881,-239,577
882,-230,746
883,-263,740
884,-420,536
885,-485,412
886,-689,21
887,-742,-126
888,-781,-433
889,-742,-481
890,-467,-448
891,-345,-374
892,82,-79
893,223,39
894,573,346
895,634,404
896,666,459
897,626,435
898,349,228
899,232,125
900,-182,-163
901,-304,-252
902,-627,-425
903,-723,-444
904,-856,-445
905,-883,-439
906,-872,-342
907,-842,-312
908,-688,-270
909,-625,-294
910,-389,-345
911,-280,-363
912,-15,-478
913,80,-518
914,284,-617
915,349,-627
916,368,-630
917,328,-613
918,157,-535
919,67,-495
920,-244,-372
921,-344,-346
922,-626,-293
923,-699,-289
924,-830,-301
925,-851,-341
926,-848,-404
927,-819,-414
928,-668,-422
929,-601,-410
930,-380,-295
931,-283,-223
932,1,-8
933,94,61
934,358,273
935,465,325
936,654,411
937,718,421
938,815,394
939,825,387
940,793,325
941,761,313
942,631,310
943,562,319
944,319,380

