Time,I,Q
451,-336,-158
452,-262,-216
453,-62,-405
454,-11,-454
455,41,-535
456,20,-535
457,-109,-471
458,-183,-431
459,-352,-264
460,-409,-212
461,-503,-10
462,-530,46
463,-494,240
464,-459,299
465,-313,446
466,-251,477
467,-61,526
468,-1,528
469,236,431
470,327,393
471,509,225
472,561,171
473,606,6
474,566,-33
475,362,-104
476,243,-110
477,-116,-100
478,-222,-79
479,-514,-11
480,-564,9
481,-581,115
482,-545,170
483,-330,286
484,-245,349
485,-22,470
486,47,512
487,146,559
488,139,567
489,116,546
490,107,522
491,23,475
492,14,458
493,-19,479
494,-26,499
495,-51,561
496,-66,576
497,-50,618
498,-45,602
499,44,487
500,95,423
501,276,212
502,341,152
503,501,-12
504,523,-37
505,535,-50
506,519,-25
507,359,133
508,305,191
509,119,373
510,66,421
511,-52,557
512,-67,593
513,-59,663
514,-40,665
515,3,663
516,26,629
517,53,471
518,40,405
519,20,122
520,12,22
521,-18,-290
522,-35,-382
523,-50,-590
524,-49,-620
525,-20,-632
526,-18,-623
527,10,-533
528,27,-494
529,20,-461
530,5,-446
531,-60,-493
532,-91,-526
533,-145,-572
534,-141,-571
535,-96,-557
536,-38,-527
537,172,-383
538,271,-338
539,522,-177
540,577,-135
541,627,-6
542,592,5
543,308,57
544,158,59
545,-278,60
546,-407,69
547,-636,60
548,-645,48
549,-462,-28
550,-317,-47
551,124,-119
552,296,-123
553,627,-94
554,668,-73
555,606,91
556,542,158
557,210,369
558,105,423
559,-95,548
560,-130,546
561,-13,480
562,73,430
563,358,247
564,454,177
565,610,9
566,592,-21
567,453,-95
568,372,-92
569,30,-83
570,-112,-57
571,-421,1
572,-488,11
573,-669,57
574,-682,67
575,-684,92
576,-671,97
577,-582,101
578,-559,66
579,-422,-34
580,-373,-91
581,-200,-280
582,-152,-355
583,-42,-512
584,-10,-542
585,-18,-546
586,-47,-518
587,-166,-336
588,-224,-264
589,-387,-22
590,-440,28
591,-569,120
592,-589,119
593,-641,67
594,-643,30
595,-608,-65
596,-606,-95
597,-482,-30
598,-430,11
599,-218,222
600,-163,305
601,7,510
602,56,563
603,68,578
604,39,541
605,-144,378
606,-222,279
607,-456,56
608,-516,5
609,-588,-63
610,-579,-48
611,-389,131
612,-321,193
613,-70,424
614,2,495
615,107,584
616,99,569
617,-34,455
618,-102,391
619,-341,201
620,-412,129
621,-574,-29
622,-585,-44
623,-613,-75
624,-594,-62
625,-527,-8
626,-512,-3
627,-473,38
628,-479,47
629,-476,41
630,-496,47
631,-494,23
632,-504,12
633,-503,9
634,-502,15
635,-488,12
636,-489,14
637,-497,27
638,-515,33
639,-525,32
640,-520,33
641,-507,18
642,-509,4
643,-481,-8
644,-485,-12
645,-470,-5
646,-486,-11
647,-515,32
648,-538,55
649,-569,88
650,-563,81
651,-546,62
652,-543,50
653,-437,-53
654,-402,-98
655,-269,-245
656,-228,-313
657,-72,-436
658,-54,-483
659,44,-580
660,58,-594
661,90,-612
662,79,-619
663,35,-584
664,22,-548
665,-92,-449
666,-130,-387
667,-261,-233
668,-285,-167
669,-402,-25
670,-434,18
671,-531,87
672,-562,75
673,-624,20
674,-639,4
675,-632,-39
676,-601,-47
677,-466,-4
678,-415,30
679,-223,235
680,-153,299
681,1,475
682,28,536
683,46,563
684,30,540
685,-112,412
686,-175,329
687,-354,100
688,-410,36
689,-550,-87
690,-582,-84
691,-621,-26
692,-627,26
693,-604,120
694,-590,146
695,-501,98
696,-460,51
697,-329,-199
698,-271,-300
699,-126,-552
700,-90,-594
701,2,-613
702,12,-561
703,38,-257
704,4,-124
705,-13,280
706,-14,372
707,-5,572
708,28,610
709,120,531
710,174,465
711,309,210
712,348,143
713,469,-57
714,514,-101
715,612,-152
716,648,-140
717,692,-96
718,684,-73
719,614,-2
720,544,-5
721,279,52
722,159,78
723,-204,90
724,-326,103
725,-575,77
726,-607,55
727,-551,-80
728,-501,-144
729,-213,-347
730,-117,-408
731,85,-537
732,104,-550
733,0,-499
734,-59,-461
735,-345,-259
736,-432,-181
737,-587,16
738,-603,74
739,-473,128
740,-402,124
741,-40,41
742,72,3
743,404,-61
744,491,-87
745,652,-74
746,682,-47
747,691,38
748,673,59
749,602,70
750,575,65
751,420,-38
752,371,-99
753,168,-284
754,104,-345
755,-34,-484
756,-54,-499
757,-27,-521
758,4,-502
759,180,-407
760,253,-364
761,444,-207
762,497,-150
763,553,43
764,555,111
765,456,314
766,393,376
767,220,528
768,155,553
769,-38,549
770,-111,521
771,-314,325
772,-380,250
773,-511,40
774,-543,4
775,-540,-55
776,-513,-33
777,-333,128
778,-260,210
779,-27,448
780,31,518
